Embryo_ID,Cell_ID,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum,Identity
013018Abl_CK3,2,I,5039,267.47,212.78,4.4334,35.999,1.81E+05,130.5,6.58E+05,EPI
013018Abl_CK3,8,I,23917,197.08,172.57,6.9337,36.5,8.73E+05,154.82,3.70E+06,DP
013018Abl_CK3,8.2,I,23917,216,225,5,35.365,,159.801,,EPI
013018Abl_CK3,9,I,28481,172.62,281.27,7.8258,86.314,2.46E+06,136.55,3.89E+06,PRE
013018Abl_CK3,10,I,27968,134.18,210.63,11.901,116.89,3.27E+06,147.21,4.12E+06,PRE
013018Abl_CK3,11,I,38740,252.17,237.31,12.123,50.165,1.94E+06,132.63,5.14E+06,PRE
013018Abl_CK3,12,M,17865,241.77,330.93,14.571,85.925,1.54E+06,140.07,2.50E+06,PRE
013018Abl_CK3,13,I,49620,234.52,158.72,18.916,34.495,1.71E+06,154.46,7.66E+06,DP
013018Abl_CK3,14,I,24153,159.42,307.34,20.377,79.375,1.92E+06,156.61,3.78E+06,PRE
013018Abl_CK3,15,I,19351,171.43,247.86,20.977,105.53,2.04E+06,137.3,2.66E+06,PRE
013018Abl_CK3,16,I,20546,223.31,291.38,23.614,67.361,1.38E+06,143.26,2.94E+06,PRE
013018Abl_CK3,17,I,21202,222.65,227.9,25.113,74.505,1.58E+06,166.82,3.54E+06,PRE
013018Abl_CK3,19,I,13854,113.96,221.46,27.932,33.181,4.60E+05,147.97,2.05E+06,DP
013018Abl_CK3,20,I,40703,241.46,357.63,30.99,43.182,1.76E+06,131.47,5.35E+06,PRE
013018Abl_CK3,21,I,14631,212.79,276.75,33.33,71.538,1.05E+06,130.69,1.91E+06,PRE
013018Abl_CK3,22,I,24628,159.32,176.45,35.306,27.576,6.79E+05,129.58,3.19E+06,DP
013018Abl_CK3,23,I,33843,155.03,267.52,37.679,62.317,2.11E+06,130.19,4.41E+06,PRE
013018Abl_CK3,24,I,23630,200.39,220.29,39.755,50.22,1.19E+06,149.56,3.53E+06,PRE
013018Abl_CK3,25,I,35093,194.43,322.02,41.866,42.341,1.49E+06,125.15,4.39E+06,PRE
013018Abl_CK3,26,I,9084,241.44,174.42,39.263,26.386,2.40E+05,143.25,1.30E+06,DP
013018Abl_CK3,27,I,11462,225.42,225.83,46.185,40.222,4.61E+05,138.66,1.59E+06,PRE
