Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
092217Pdgfra_BR4,1,TE,I,15582,239.91,232.54,9.3746,2007.6,3.13E+07,51.338,8.00E+05,121.58,1.89E+06,1463.4,2.28E+07,67.296,1.05E+06
092217Pdgfra_BR4,2,TE,I,16226,334.68,291.9,8.733,1639.6,2.66E+07,51.343,8.33E+05,196.02,3.18E+06,1563.3,2.54E+07,60.181,9.77E+05
092217Pdgfra_BR4,3,TE,I,8960,279.98,283.55,8.5885,1994.2,1.79E+07,69.057,6.19E+05,922.27,8.26E+06,1331.8,1.19E+07,49.549,4.44E+05
092217Pdgfra_BR4,4,TE,I,19132,259.18,334.46,9.3814,2005.4,3.84E+07,45.887,8.78E+05,377.23,7.22E+06,1492.4,2.86E+07,72.469,1.39E+06
092217Pdgfra_BR4,5,TE,I,17901,319.76,219.17,10.512,1850.1,3.31E+07,44.162,7.91E+05,476.51,8.53E+06,1577.5,2.82E+07,61.016,1.09E+06
092217Pdgfra_BR4,6,ICM,I,11023,251.34,285.54,16.077,1353,1.49E+07,53.165,5.86E+05,454.5,5.01E+06,1507.9,1.66E+07,52.16,5.75E+05
092217Pdgfra_BR4,8,TE,I,15492,216.37,202.88,22.877,1568.9,2.43E+07,35.463,5.49E+05,168.57,2.61E+06,1520.1,2.36E+07,52.33,8.11E+05
092217Pdgfra_BR4,9,TE,I,17564,190.05,295.15,22.372,1856.6,3.26E+07,38.533,6.77E+05,211.13,3.71E+06,1569,2.76E+07,57.985,1.02E+06
092217Pdgfra_BR4,10,ICM,I,13096,272.11,227.58,21.083,874.31,1.15E+07,60.248,7.89E+05,361.07,4.73E+06,1569.1,2.05E+07,40.848,5.35E+05
092217Pdgfra_BR4,11,TE,I,17210,368.88,270.75,27.549,949.71,1.63E+07,32.182,5.54E+05,131.8,2.27E+06,1454.9,2.50E+07,43.567,7.50E+05
092217Pdgfra_BR4,12,TE,I,28567,366.8,334.08,27.044,733.74,2.10E+07,35.505,1.01E+06,159.65,4.56E+06,1524.4,4.35E+07,45.177,1.29E+06
092217Pdgfra_BR4,13,ICM,I,5650,336.38,255.22,26.516,711.87,4.02E+06,36.35,2.05E+05,450.59,2.55E+06,1418.1,8.01E+06,32.242,1.82E+05
092217Pdgfra_BR4,14,ICM,I,11732,247.31,307.79,27.964,805.8,9.45E+06,38.401,4.51E+05,220.21,2.58E+06,1518.7,1.78E+07,37.077,4.35E+05
092217Pdgfra_BR4,15,ICM,I,12310,234.24,258.82,28.888,832.91,1.03E+07,54.92,6.76E+05,624.01,7.68E+06,1438.8,1.77E+07,38.896,4.79E+05
092217Pdgfra_BR4,16,TE,I,18011,320.14,174.52,30.993,846.88,1.53E+07,32.216,5.80E+05,59.582,1.07E+06,1553.8,2.80E+07,40.524,7.30E+05
092217Pdgfra_BR4,17,TE,I,13267,292.33,264.48,30.451,528.72,7.01E+06,54.787,7.27E+05,225.98,3.00E+06,1483.7,1.97E+07,33.037,4.38E+05
092217Pdgfra_BR4,18,ICM,I,14761,330.72,214.55,30.651,690.29,1.02E+07,47.556,7.02E+05,388.32,5.73E+06,1655.3,2.44E+07,37.239,5.50E+05
092217Pdgfra_BR4,19,TE,I,22509,245.8,151.03,35.798,1147.1,2.58E+07,30.712,6.91E+05,245.59,5.53E+06,1578.5,3.55E+07,43.432,9.78E+05
092217Pdgfra_BR4,20,TE,I,15317,213.93,339.21,35.881,954.38,1.46E+07,28.282,4.33E+05,126.33,1.94E+06,1573.4,2.41E+07,40.585,6.22E+05
092217Pdgfra_BR4,21,TE,I,17816,248.87,390.92,36.018,711,1.27E+07,27.952,4.98E+05,78.385,1.40E+06,1514.4,2.70E+07,37.851,6.74E+05
092217Pdgfra_BR4,22,TE,I,16536,369.06,238.9,40.387,490.64,8.11E+06,23.236,3.84E+05,42.52,7.03E+05,1499,2.48E+07,32.139,5.31E+05
092217Pdgfra_BR4,23,ICM,I,18725,246.83,307.4,41.63,429.89,8.05E+06,34.446,6.45E+05,635.37,1.19E+07,1460.2,2.73E+07,31.571,5.91E+05
092217Pdgfra_BR4,24,ICM,I,15610,270.8,249.59,44.891,266.66,4.16E+06,29.504,4.61E+05,193.14,3.01E+06,1500.5,2.34E+07,27.154,4.24E+05
092217Pdgfra_BR4,25,ICM,I,10460,324.67,267.99,43.754,323.51,3.38E+06,27.165,2.84E+05,306.54,3.21E+06,1323.4,1.38E+07,27.82,2.91E+05
092217Pdgfra_BR4,26,TE,I,19196,331.68,298.43,50.988,310.35,5.96E+06,21.217,4.07E+05,53.303,1.02E+06,1489.2,2.86E+07,27.555,5.29E+05
092217Pdgfra_BR4,27,TE,I,19948,190.5,248.04,48.759,402.43,8.03E+06,22.99,4.59E+05,44.184,8.81E+05,1513.5,3.02E+07,31.711,6.33E+05
092217Pdgfra_BR4,28,TE,I,11805,299.48,346.07,50.396,585.64,6.91E+06,22.649,2.67E+05,63.38,7.48E+05,1684.5,1.99E+07,29.579,3.49E+05
092217Pdgfra_BR4,29,TE,I,14663,203.98,299.37,52.664,285.84,4.19E+06,20.641,3.03E+05,94.402,1.38E+06,1521.7,2.23E+07,27.565,4.04E+05
092217Pdgfra_BR4,30,TE,I,20014,320.62,214.81,51.708,271.24,5.43E+06,20.503,4.10E+05,83.495,1.67E+06,1474.9,2.95E+07,26.268,5.26E+05
092217Pdgfra_BR4,31,ICM,I,6787,244.74,280.27,52.757,265.1,1.80E+06,25.241,1.71E+05,291.27,1.98E+06,1429.6,9.70E+06,26.065,1.77E+05
092217Pdgfra_BR4,32,TE,I,8974,259.47,338.22,53.753,538.57,4.83E+06,19.752,1.77E+05,44.572,4.00E+05,1591.4,1.43E+07,24.318,2.18E+05
092217Pdgfra_BR4,33,TE,I,12474,258.65,242.19,56.734,247.33,3.09E+06,20.706,2.58E+05,69.686,8.69E+05,1401.8,1.75E+07,25.734,3.21E+05
