"Stage","Gene1","Genotype1","Identity","mean.icm.size","N.embryos","mean.pc.icm","median.pc.icm","sd.pc.icm"
"32_64","Spry4","wt","PRE",20.2272727272727,22,14.4568126484028,6.97115384615385,16.7493158492576
"32_64","Spry4","wt","DP",20.2272727272727,22,70.3058773323399,77.5,25.146581456271
"32_64","Spry4","wt","EPI.lo",20.2272727272727,22,1.03184509878222,0,2.47429677384451
"32_64","Spry4","wt","all.EPI",20.2272727272727,22,15.2373100192573,16.3235294117647,12.2465909441021
"64_90","Spry4","wt","PRE",26.7058823529412,17,39.6383203827714,40,15.7942316250482
"64_90","Spry4","wt","DP",26.7058823529412,17,26.9194351811803,22.2222222222222,23.2571109040096
"64_90","Spry4","wt","EPI.lo",26.7058823529412,17,2.34460547504026,0,4.72926106952142
"64_90","Spry4","wt","all.EPI",26.7058823529412,17,33.4422444360483,34.4827586206897,11.927459441282
"90_120","Spry4","wt","PRE",31.3333333333333,15,41.8026275896178,45,14.0408519827476
"90_120","Spry4","wt","DP",31.3333333333333,15,8.75510443626386,7.14285714285714,10.067865061126
"90_120","Spry4","wt","EPI.lo",31.3333333333333,15,4.45636840075667,0,7.27117127717479
"90_120","Spry4","wt","all.EPI",31.3333333333333,15,36.108934640785,39.1304347826087,11.004088760988
"120_150","Spry4","wt","PRE",49.6666666666667,9,56.0827298564544,59.6491228070175,9.59382236146915
"120_150","Spry4","wt","DP",49.6666666666667,9,1.51055826113034,0,2.67181428042002
"120_150","Spry4","wt","EPI.lo",49.6666666666667,9,16.1030821844301,15.3846153846154,12.4060544899756
"120_150","Spry4","wt","all.EPI",49.6666666666667,9,42.1888469586679,40,9.99654553241137
