"Stage","Gene1","Genotype1","Identity","mean.icm.size","N.embryos","mean.pc.icm","median.pc.icm","sd.pc.icm"
"32_64","any","wt","PRE",17.9333333333333,45,9.48375405040826,5,11.7354852136762
"32_64","any","wt","DP",17.9333333333333,45,72.844330004586,77.7777777777778,24.5140463842124
"32_64","any","wt","all.EPI",17.9333333333333,45,12.711191808843,6.66666666666667,17.7485501357856
"64_90","any","wt","PRE",26.6341463414634,41,30.7653630791256,33.3333333333333,18.6322160334016
"64_90","any","wt","DP",26.6341463414634,41,55.2383896307922,60.7142857142857,31.2746730690125
"64_90","any","wt","all.EPI",26.6341463414634,41,12.7512541176854,7.14285714285714,13.9512882724055
"90_120","any","wt","PRE",35.84375,32,47.2444056491768,48.7043189368771,12.6554497094935
"90_120","any","wt","DP",35.84375,32,18.5432439021125,6.66666666666667,25.444232134796
"90_120","any","wt","all.EPI",35.84375,32,33.1222611958074,37.2116018457482,18.0962920087131
"120_150","any","wt","PRE",39.6428571428571,14,54.0011714629692,52.7295285359802,12.5154724521654
"120_150","any","wt","DP",39.6428571428571,14,3.69555983252788,0,6.6177769147367
"120_150","any","wt","all.EPI",39.6428571428571,14,42.3032687045029,43.9900426742532,9.38068998678048
