"Stage","Genotype1","Identity","mean.icm.size","N.embryos","mean.pc.icm","median.pc.icm","sd.pc.icm"
"32_64","wt","PRE",20.6923076923077,13,42.8705774424747,50,24.8208017025095
"32_64","wt","DP",20.6923076923077,13,40.8652744249561,31.25,33.8355222820022
"32_64","wt","EPI.lo",20.6923076923077,13,0.404858299595142,0,1.45973735848744
"32_64","wt","all.EPI",20.6923076923077,13,15.8795327479538,12.5,14.4793846624679
"64_90","wt","PRE",25.962962962963,27,50.0244701986494,50,17.1908044336805
"64_90","wt","DP",25.962962962963,27,10.1945725520254,6.66666666666667,12.5353092018158
"64_90","wt","EPI.lo",25.962962962963,27,6.66061643512624,0,11.827754666577
"64_90","wt","all.EPI",25.962962962963,27,38.5735492890437,40,16.6068855989203
"90_120","wt","PRE",36.1538461538462,26,53.5676803585748,53.1330749354005,7.6011270380785
"90_120","wt","DP",36.1538461538462,26,2.07207328998086,0,3.67293603020548
"90_120","wt","EPI.lo",36.1538461538462,26,7.93366501431827,6.03603603603604,7.83766526968505
"90_120","wt","all.EPI",36.1538461538462,26,43.5360705272686,43.2432432432432,9.56254959881377
"120_150","wt","PRE",49.6,5,68.2391769149843,65.9574468085106,8.09971504517647
"120_150","wt","DP",49.6,5,0,0,0
"120_150","wt","EPI.lo",49.6,5,15.6928894360705,13.7254901960784,7.16811665701312
"120_150","wt","all.EPI",49.6,5,31.7608230850157,34.0425531914894,8.09971504517647
