"Stage","Gene1","Genotype1","Identity","mean.icm.size","N.embryos","mean.pc.icm","median.pc.icm","sd.pc.icm"
"32_64","Spry4","het","PRE",36.8666666666667,45,8.02741577773849,4.76190476190476,8.89729117434189
"32_64","Spry4","het","DP",36.8666666666667,45,43.9261962262608,41.8604651162791,17.4117477328774
"32_64","Spry4","het","EPI.lo",36.8666666666667,45,0.356419309610799,0,0.960042098110216
"32_64","Spry4","het","all.EPI",36.8666666666667,45,9.26205115908339,4.8780487804878,9.66113116001543
"64_90","Spry4","het","PRE",49.9347826086956,46,18.5061532532113,18.7362878455463,7.28930631514059
"64_90","Spry4","het","DP",49.9347826086956,46,14.7107677559382,14.1428571428571,10.1968198212673
"64_90","Spry4","het","EPI.lo",49.9347826086956,46,0.920471925965159,0,2.699177710359
"64_90","Spry4","het","all.EPI",49.9347826086956,46,19.8297356502064,18.442932728647,8.37557483258599
"90_120","Spry4","het","PRE",69.5,42,26.0825626305656,25.3744690364409,6.85210244158631
"90_120","Spry4","het","DP",69.5,42,4.04605106522046,2.97267759562842,4.09815043864662
"90_120","Spry4","het","EPI.lo",69.5,42,2.26246298293676,1.49253731343284,2.85488578046681
"90_120","Spry4","het","all.EPI",69.5,42,21.3993380952155,20.5680902497985,5.39242116643858
"120_150","Spry4","het","PRE",92.2142857142857,14,29.8303049863296,29.7542242703533,6.26360387213675
"120_150","Spry4","het","DP",92.2142857142857,14,1.17977313291767,0,1.84865907241267
"120_150","Spry4","het","EPI.lo",92.2142857142857,14,9.58976993054328,10.6089022255564,6.13919477992413
"120_150","Spry4","het","all.EPI",92.2142857142857,14,22.092072528195,21.5481427174976,4.70988416057927
