Embryo_ID,Cell_ID,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum,Identity
013118Abl_CM2,1,I,12925,203.58,205.31,4.5954,54.096,6.99E+05,233.53,3.02E+06,DP
013118Abl_CM2,2,I,7482,147.29,252.35,3.8065,91.712,6.86E+05,221.07,1.65E+06,PRE
013118Abl_CM2,3,M,24867,191.45,262.41,8.888,142.56,3.55E+06,227.6,5.66E+06,PRE
013118Abl_CM2,4,I,35138,183.08,361.65,7.4312,77.039,2.71E+06,241.15,8.47E+06,PRE
013118Abl_CM2,5,I,2857,97.701,202.6,5.5002,35.914,1.03E+05,251.46,7.18E+05,DP
013118Abl_CM2,7,I,12876,109.8,345.05,9.9804,29.067,3.74E+05,261.7,3.37E+06,EPI
013118Abl_CM2,8,I,26206,184.39,169.53,11.439,71.379,1.87E+06,222.9,5.84E+06,PRE
013118Abl_CM2,8.2,I,26206,158,171,7,40.015,,234.647,,DP
013118Abl_CM2,9,I,20602,119.14,251.04,10.58,59.471,1.23E+06,241.11,4.97E+06,DP
013118Abl_CM2,10,I,14077,168.15,326.93,13.316,64.031,9.01E+05,205.64,2.89E+06,DP
013118Abl_CM2,11,I,29403,125.15,185.92,18.104,95.636,2.81E+06,216.22,6.36E+06,PRE
013118Abl_CM2,12,M,21470,84.99,294.59,16.109,61.083,1.31E+06,214.82,4.61E+06,DP
013118Abl_CM2,15,I,29764,151.97,144.2,25.476,73.075,2.18E+06,212.89,6.34E+06,PRE
013118Abl_CM2,16,I,36692,157.12,244.78,24.014,65.782,2.41E+06,195.14,7.16E+06,PRE
013118Abl_CM2,17,I,33036,106.53,345.09,29.368,69.907,2.31E+06,241.93,7.99E+06,PRE
013118Abl_CM2,18,I,25527,85.737,255.98,29.367,41.94,1.07E+06,220.03,5.62E+06,DP
013118Abl_CM2,19,I,16803,101.84,176.88,31.191,63.79,1.07E+06,223.9,3.76E+06,PRE
013118Abl_CM2,20,I,19933,132.77,285.69,34.253,46.169,9.20E+05,222.52,4.44E+06,DP
013118Abl_CM2,21,I,24107,92.898,312.96,40.973,62.588,1.51E+06,210.11,5.07E+06,PRE
