Embryo_ID,Cell_ID,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum,Identity
013018Abl_CK8,1,I,17427,219.15,278.98,5.009,94.109,1.64E+06,131.92,2.30E+06,PRE
013018Abl_CK8,2,I,8677,250.56,222.04,4.9591,43.426,3.77E+05,129.56,1.12E+06,EPI
013018Abl_CK8,3,I,24244,194.84,185.81,9.2196,153.73,3.73E+06,127.12,3.08E+06,PRE
013018Abl_CK8,4,I,15842,237.73,132.67,13.555,40.5,6.42E+05,134.63,2.13E+06,EPI
013018Abl_CK8,5,I,33525,184.1,254.92,11.077,107.7,3.61E+06,127.25,4.27E+06,PRE
013018Abl_CK8,5.2,I,33525,156,246,5,42.66,,127.326,,EPI
013018Abl_CK8,6,I,35986,175.67,334.11,11.546,117.78,4.24E+06,131.54,4.73E+06,PRE
013018Abl_CK8,6.2,I,35986,171,326,7,47.199,,133.521,,PRE
013018Abl_CK8,7,I,16041,140.63,196.21,16.948,176.39,2.83E+06,126.93,2.04E+06,PRE
013018Abl_CK8,9,I,7968,165.07,121.68,20.511,90.7,7.23E+05,139.05,1.11E+06,DP
013018Abl_CK8,10,I,27785,182.39,171.93,22.233,171.78,4.77E+06,124.61,3.46E+06,PRE
013018Abl_CK8,12,I,30522,137.75,286.2,25.246,122.73,3.75E+06,123.39,3.77E+06,PRE
013018Abl_CK8,14,I,25362,131.35,221.38,29.346,105.64,2.68E+06,121.3,3.08E+06,PRE
013018Abl_CK8,16,I,15216,81.994,274.78,35.283,42.143,6.41E+05,152.79,2.32E+06,DP
013018Abl_CK8,18,I,27136,110.28,195.61,40.712,72.164,1.96E+06,132.04,3.58E+06,PRE
013018Abl_CK8,18.2,I,27136,83,208,37,52.954,,156.05,,DP
