Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
092117Pdgfra_BQ6,1,TE,I,11247,226.13,292.11,5.9308,2201.1,2.48E+07,75.36,8.48E+05,157.5,1.77E+06,1388.2,1.56E+07,440.37,4.95E+06
092117Pdgfra_BQ6,2,TE,I,12555,301.92,267.78,5.1486,2447.5,3.07E+07,34.167,4.29E+05,116.51,1.46E+06,1434.5,1.80E+07,109.62,1.38E+06
092117Pdgfra_BQ6,3,TE,I,12616,272.43,204.78,6.6036,2610.6,3.29E+07,39.796,5.02E+05,109.58,1.38E+06,1412.1,1.78E+07,49.081,6.19E+05
092117Pdgfra_BQ6,4,TE,I,17912,185.3,205.85,8.9537,2008.6,3.60E+07,37.656,6.74E+05,120.39,2.16E+06,1443.2,2.59E+07,41.113,7.36E+05
092117Pdgfra_BQ6,5,TE,I,15277,189.37,257.75,7.9022,1647.7,2.52E+07,130.58,1.99E+06,167.55,2.56E+06,1525.5,2.33E+07,273.11,4.17E+06
092117Pdgfra_BQ6,6,TE,I,14055,277.56,321.08,6.3169,2078.7,2.92E+07,39.39,5.54E+05,117.01,1.64E+06,1406,1.98E+07,39.812,5.60E+05
092117Pdgfra_BQ6,7,ICM,I,10258,259.9,270.28,11.076,1520.8,1.56E+07,55.844,5.73E+05,145.92,1.50E+06,1474.3,1.51E+07,192.09,1.97E+06
092117Pdgfra_BQ6,8,TE,I,14297,169.6,302.95,9.9893,1568.1,2.24E+07,32.485,4.64E+05,106.19,1.52E+06,1401.2,2.00E+07,38.216,5.46E+05
092117Pdgfra_BQ6,9,ICM,I,11631,247.33,226.76,14.081,1614.7,1.88E+07,53.826,6.26E+05,129.18,1.50E+06,1419.3,1.65E+07,268.13,3.12E+06
092117Pdgfra_BQ6,10,TE,I,17391,375.31,275.18,15.005,1892.7,3.29E+07,28.803,5.01E+05,61.142,1.06E+06,1448,2.52E+07,51.408,8.94E+05
092117Pdgfra_BQ6,11,ICM,I,13532,198.94,339.8,15.277,1269,1.72E+07,54.561,7.38E+05,131.94,1.79E+06,1467.3,1.99E+07,202.74,2.74E+06
092117Pdgfra_BQ6,12,TE,I,12020,312.43,177.97,14.676,2197.5,2.64E+07,30.612,3.68E+05,64.706,7.78E+05,1412.7,1.70E+07,35.364,4.25E+05
092117Pdgfra_BQ6,13,TE,I,17550,288.21,371.87,15.752,1627.8,2.86E+07,30.876,5.42E+05,76.424,1.34E+06,1422.9,2.50E+07,99.387,1.74E+06
092117Pdgfra_BQ6,14,ICM,I,5691,220.09,248.1,12.172,1553.7,8.84E+06,63.654,3.62E+05,118.67,6.75E+05,1374.2,7.82E+06,293.75,1.67E+06
092117Pdgfra_BQ6,15,ICM,I,10433,242.57,181.82,19.085,1533.5,1.60E+07,49.711,5.19E+05,140.5,1.47E+06,1421.9,1.48E+07,280.86,2.93E+06
092117Pdgfra_BQ6,16,ICM,I,11708,233.22,304.44,17.604,1177,1.38E+07,56.423,6.61E+05,123.82,1.45E+06,1422.6,1.67E+07,204.6,2.40E+06
092117Pdgfra_BQ6,17,ICM,I,10127,237.08,353.29,19.068,1171.2,1.19E+07,45.186,4.58E+05,100.14,1.01E+06,1382.8,1.40E+07,173.13,1.75E+06
092117Pdgfra_BQ6,18,TE,I,12545,126.4,269.07,22.089,1893.5,2.38E+07,33.007,4.14E+05,72.067,9.04E+05,1452.3,1.82E+07,32.881,4.13E+05
092117Pdgfra_BQ6,19,ICM,I,8636,202.1,216.6,19.292,1141.8,9.86E+06,60.165,5.20E+05,120.23,1.04E+06,1440.4,1.24E+07,167.92,1.45E+06
092117Pdgfra_BQ6,20,ICM,I,11416,176.87,247.17,23.444,959.16,1.10E+07,38.164,4.36E+05,105.98,1.21E+06,1480.7,1.69E+07,162.02,1.85E+06
092117Pdgfra_BQ6,21,ICM,I,9311,211.62,270.79,23.615,979.93,9.12E+06,50.312,4.68E+05,109.91,1.02E+06,1394.4,1.30E+07,209.63,1.95E+06
092117Pdgfra_BQ6,22,ICM,I,13848,194.13,172.9,24.604,1221,1.69E+07,62.361,8.64E+05,117.35,1.63E+06,1413.4,1.96E+07,141.57,1.96E+06
092117Pdgfra_BQ6,23,ICM,I,4046,156.68,279.25,22.908,1216.9,4.92E+06,69.26,2.80E+05,83.456,3.38E+05,1564.8,6.33E+06,79.836,3.23E+05
