Experiment,Litter,Genotype1,Channel,Marker,ab.2
081617_new-lms_A,A,wt,CH1,DNA,Hoechst
081617_new-lms_A,A,wt,CH2,NANOG.rat,af488.rat
081617_new-lms_A,A,wt,CH3,GATA4.rb,af647.rb
081617_new-lms_A,A,wt,CH4,BF,NA
081617_new-lms_A,A,wt,CH5,GATA6.gt,af568.gt
081617_new-lms_B,B,wt,CH1,DNA,Hoechst
081617_new-lms_B,B,wt,CH2,NANOG.rat,af488.rat
081617_new-lms_B,B,wt,CH3,GATA4.rb,af647.rb
081617_new-lms_B,B,wt,CH4,BF,NA
081617_new-lms_B,B,wt,CH5,GATA6.gt,af568.gt
081617_new-lms_C,C,wt,CH1,DNA,Hoechst
081617_new-lms_C,C,wt,CH2,NANOG.rat,af488.rat
081617_new-lms_C,C,wt,CH3,GATA4.rb,af647.rb
081617_new-lms_C,C,wt,CH4,BF,NA
081617_new-lms_C,C,wt,CH5,GATA6.gt,af568.gt
032017Abl_E,E,het,CH1,DNA,Hoechst
032017Abl_E,E,het,CH2,GFP,no.ab
032017Abl_E,E,het,CH3,NANOG.rb,af647.rb
032017Abl_E,E,het,CH4,BF,NA
032017Abl_E,E,het,CH5,GATA6.gt,af568.gt
032017Abl_E,E,wt,CH1,DNA,Hoechst
032017Abl_E,E,wt,CH2,NANOG.rat,af488.rat
032017Abl_E,E,wt,CH3,NANOG.rb,af647.rb
032017Abl_E,E,wt,CH4,BF,NA
032017Abl_E,E,wt,CH5,GATA6.gt,af568.gt
032317Abl_H,H,het,CH1,DNA,Hoechst
032317Abl_H,H,het,CH2,GFP,no.ab
032317Abl_H,H,het,CH3,NANOG.rb,af647.rb
032317Abl_H,H,het,CH4,BF,NA
032317Abl_H,H,het,CH5,GATA6.gt,af568.gt
032317Abl_H,H,wt,CH1,DNA,Hoechst
032317Abl_H,H,wt,CH2,no.ab,af488.rat
032317Abl_H,H,wt,CH3,no.ab,af647.rb
032317Abl_H,H,wt,CH4,BF,NA
032317Abl_H,H,wt,CH5,no.ab,af568.gt
032317Abl_I,I,het,CH1,DNA,Hoechst
032317Abl_I,I,het,CH2,GFP,no.ab
032317Abl_I,I,het,CH3,NANOG.rb,af647.rb
032317Abl_I,I,het,CH4,BF,NA
032317Abl_I,I,het,CH5,GATA6.gt,af568.gt
032317Abl_I,I,wt,CH1,DNA,Hoechst
032317Abl_I,I,wt,CH2,NANOG.rat,af488.rat
032317Abl_I,I,wt,CH3,NANOG.rb,af647.rb
032317Abl_I,I,wt,CH4,BF,NA
032317Abl_I,I,wt,CH5,GATA6.gt,af568.gt
032317Abl_J,J,het,CH1,DNA,Hoechst
032317Abl_J,J,het,CH2,GFP,no.ab
032317Abl_J,J,het,CH3,NANOG.rb,af647.rb
032317Abl_J,J,het,CH4,BF,NA
032317Abl_J,J,het,CH5,GATA6.gt,af568.gt
032317Abl_J,J,wt,CH1,DNA,Hoechst
032317Abl_J,J,wt,CH2,NANOG.rat,af488.rat
032317Abl_J,J,wt,CH3,NANOG.rb,af647.rb
032317Abl_J,J,wt,CH4,BF,NA
032317Abl_J,J,wt,CH5,GATA6.gt,af568.gt
033017Abl_P,P,het,CH1,DNA,Hoechst
033017Abl_P,P,het,CH2,GFP,no.ab
033017Abl_P,P,het,CH3,NANOG.rb,af647.rb
033017Abl_P,P,het,CH4,BF,NA
033017Abl_P,P,het,CH5,GATA6.gt,af568.gt
050617Pdgfra,SciSat,wt,CH1,DNA,Hoechst
050617Pdgfra,SciSat,wt,CH2,GFP,no.ab
050617Pdgfra,SciSat,wt,CH3,NANOG.rb,af647.rb
050617Pdgfra,SciSat,wt,CH4,BF,NA
050617Pdgfra,SciSat,wt,CH5,GATA6.gt,af568.gt
050617Pdgfra,SciSat,het,CH1,DNA,Hoechst
050617Pdgfra,SciSat,het,CH2,GFP,no.ab
050617Pdgfra,SciSat,het,CH3,NANOG.rb,af647.rb
050617Pdgfra,SciSat,het,CH4,BF,NA
050617Pdgfra,SciSat,het,CH5,GATA6.gt,af568.gt
041817Pdgfra_AA,AA,wt,CH1,DNA,Hoechst
041817Pdgfra_AA,AA,wt,CH2,GFP,no.ab
041817Pdgfra_AA,AA,wt,CH3,NANOG.rb,af647.rb
041817Pdgfra_AA,AA,wt,CH4,BF,NA
041817Pdgfra_AA,AA,wt,CH5,GATA6.gt,af568.gt
041817Pdgfra_AA,AA,het,CH1,DNA,Hoechst
041817Pdgfra_AA,AA,het,CH2,GFP,no.ab
041817Pdgfra_AA,AA,het,CH3,NANOG.rb,af647.rb
041817Pdgfra_AA,AA,het,CH4,BF,NA
041817Pdgfra_AA,AA,het,CH5,GATA6.gt,af568.gt
041817Pdgfra_AA,AA,ko,CH1,DNA,Hoechst
041817Pdgfra_AA,AA,ko,CH2,GFP,no.ab
041817Pdgfra_AA,AA,ko,CH3,NANOG.rb,af647.rb
041817Pdgfra_AA,AA,ko,CH4,BF,NA
041817Pdgfra_AA,AA,ko,CH5,GATA6.gt,af568.gt
042017Pdgfra_AB,AB,wt,CH1,DNA,Hoechst
042017Pdgfra_AB,AB,wt,CH2,GFP,no.ab
042017Pdgfra_AB,AB,wt,CH3,NANOG.rb,af647.rb
042017Pdgfra_AB,AB,wt,CH4,BF,NA
042017Pdgfra_AB,AB,wt,CH5,GATA6.gt,af568.gt
042017Pdgfra_AB,AB,het,CH1,DNA,Hoechst
042017Pdgfra_AB,AB,het,CH2,GFP,no.ab
042017Pdgfra_AB,AB,het,CH3,NANOG.rb,af647.rb
042017Pdgfra_AB,AB,het,CH4,BF,NA
042017Pdgfra_AB,AB,het,CH5,GATA6.gt,af568.gt
042017Pdgfra_AB,AB,ko,CH1,DNA,Hoechst
042017Pdgfra_AB,AB,ko,CH2,GFP,no.ab
042017Pdgfra_AB,AB,ko,CH3,NANOG.rb,af647.rb
042017Pdgfra_AB,AB,ko,CH4,BF,NA
042017Pdgfra_AB,AB,ko,CH5,GATA6.gt,af568.gt
042017Pdgfra_AC,AC,wt,CH1,DNA,Hoechst
042017Pdgfra_AC,AC,wt,CH2,GFP,no.ab
042017Pdgfra_AC,AC,wt,CH3,NANOG.rb,af647.rb
042017Pdgfra_AC,AC,wt,CH4,BF,NA
042017Pdgfra_AC,AC,wt,CH5,GATA6.gt,af568.gt
042017Pdgfra_AC,AC,het,CH1,DNA,Hoechst
042017Pdgfra_AC,AC,het,CH2,GFP,no.ab
042017Pdgfra_AC,AC,het,CH3,NANOG.rb,af647.rb
042017Pdgfra_AC,AC,het,CH4,BF,NA
