Experiment,Litter,Channel,Marker,ab.2
011216_FGF4fl_B,B,CH1,DNA,Hoechst
011216_FGF4fl_B,B,CH2,CDX2.m,af488.m
011216_FGF4fl_B,B,CH3,NANOG.rb,af647.rb
011216_FGF4fl_B,B,CH4,BF,no.ab
011216_FGF4fl_B,B,CH5,GATA6.gt,af568.gt
011516_mzFGF4_C,C,CH1,DNA,Hoechst
011516_mzFGF4_C,C,CH2,CDX2.m,af488.m
011516_mzFGF4_C,C,CH3,NANOG.rb,af647.rb
011516_mzFGF4_C,C,CH4,BF,no.ab
011516_mzFGF4_C,C,CH5,GATA6.gt,af568.gt
011916_mzFGF4_F,F,CH1,DNA,Hoechst
011916_mzFGF4_F,F,CH2,CDX2.m,af488.m
011916_mzFGF4_F,F,CH3,NANOG.rb,af647.rb
011916_mzFGF4_F,F,CH4,BF,no.ab
011916_mzFGF4_F,F,CH5,GATA6.gt,af568.gt
091415_FGF4ko_H,H,CH1,DNA,Hoechst
091415_FGF4ko_H,H,CH2,CDX2.m,af488.m
091415_FGF4ko_H,H,CH3,NANOG.rb,af647.rb
091415_FGF4ko_H,H,CH4,BF,no.ab
091415_FGF4ko_H,H,CH5,GATA6.gt,af568.gt
011216_FGF4fl_A,A,CH1,DNA,Hoechst
011216_FGF4fl_A,A,CH2,CDX2.m,af488.m
011216_FGF4fl_A,A,CH3,NANOG.rb,af647.rb
011216_FGF4fl_A,A,CH4,BF,no.ab
011216_FGF4fl_A,A,CH5,GATA6.gt,af568.gt
011816_FGF4fl_D,D,CH1,DNA,Hoechst
011816_FGF4fl_D,D,CH2,CDX2.m,af488.m
011816_FGF4fl_D,D,CH3,NANOG.rb,af647.rb
011816_FGF4fl_D,D,CH4,BF,no.ab
011816_FGF4fl_D,D,CH5,GATA6.gt,af568.gt
011816_FGF4fl_E,E,CH1,DNA,Hoechst
011816_FGF4fl_E,E,CH2,CDX2.m,af488.m
011816_FGF4fl_E,E,CH3,NANOG.rb,af647.rb
011816_FGF4fl_E,E,CH4,BF,no.ab
011816_FGF4fl_E,E,CH5,GATA6.gt,af568.gt
012216_mzFGF4_G,G,CH1,DNA,Hoechst
012216_mzFGF4_G,G,CH2,CDX2.m,af488.m
012216_mzFGF4_G,G,CH3,NANOG.rb,af647.rb
012216_mzFGF4_G,G,CH4,BF,no.ab
012216_mzFGF4_G,G,CH5,GATA6.gt,af568.gt
112115_FGF4ko_I,I,CH1,DNA,Hoechst
112115_FGF4ko_I,I,CH2,CDX2.m,af488.m
112115_FGF4ko_I,I,CH3,NANOG.rb,af647.rb
112115_FGF4ko_I,I,CH4,BF,no.ab
112115_FGF4ko_I,I,CH5,GATA6.gt,af568.gt
072316_mzFGF4_J,J,CH1,DNA,Hoechst
072316_mzFGF4_J,J,CH2,CDX2.m,af488.m
072316_mzFGF4_J,J,CH3,NANOG.rb,af647.rb
072316_mzFGF4_J,J,CH4,BF,no.ab
072316_mzFGF4_J,J,CH5,GATA6.gt,af568.gt
090216_mzFGF4_V,V,CH1,DNA,Hoechst
090216_mzFGF4_V,V,CH2,CDX2.m,af488.m
090216_mzFGF4_V,V,CH3,NANOG.rb,af647.rb
090216_mzFGF4_V,V,CH4,BF,no.ab
090216_mzFGF4_V,V,CH5,GATA6.gt,af568.gt
102716_mzFGF4_W,W,CH1,DNA,Hoechst
102716_mzFGF4_W,W,CH2,CDX2.m,af488.m
102716_mzFGF4_W,W,CH3,NANOG.rb,af647.rb
102716_mzFGF4_W,W,CH4,BF,no.ab
102716_mzFGF4_W,W,CH5,GATA6.gt,af568.gt
110216_mzFGF4_X,X,CH1,DNA,Hoechst
110216_mzFGF4_X,X,CH2,CDX2.m,af488.m
110216_mzFGF4_X,X,CH3,NANOG.rb,af647.rb
110216_mzFGF4_X,X,CH4,BF,no.ab
110216_mzFGF4_X,X,CH5,GATA6.gt,af568.gt
100516CD1,100516CD1,CH1,DNA,Hoechst
100516CD1,100516CD1,CH2,no.ab,af488.ck
100516CD1,100516CD1,CH3,no.ab,af647.rb
100516CD1,100516CD1,CH4,BF,no.ab
100516CD1,100516CD1,CH5,no.ab,af568.gt
120816_mzFGF4_Y,Y,CH1,DNA,Hoechst
120816_mzFGF4_Y,Y,CH2,CDX2.m,af488.m
120816_mzFGF4_Y,Y,CH3,NANOG.rb,af647.rb
120816_mzFGF4_Y,Y,CH4,BF,no.ab
120816_mzFGF4_Y,Y,CH5,GATA6.gt,af568.gt
120816_mzFGF4_Z,Z,CH1,DNA,Hoechst
120816_mzFGF4_Z,Z,CH2,CDX2.m,af488.m
120816_mzFGF4_Z,Z,CH3,NANOG.rb,af647.rb
120816_mzFGF4_Z,Z,CH4,BF,no.ab
120816_mzFGF4_Z,Z,CH5,GATA6.gt,af568.gt
120816_mzFGF4_AA,AA,CH1,DNA,Hoechst
120816_mzFGF4_AA,AA,CH2,CDX2.m,af488.m
120816_mzFGF4_AA,AA,CH3,NANOG.rb,af647.rb
120816_mzFGF4_AA,AA,CH4,BF,no.ab
120816_mzFGF4_AA,AA,CH5,GATA6.gt,af568.gt
