Experiment,Treatment,Channel,Marker,ab.2
110716Xim_WT_Y,Chimera,CH1,DNA,Hoechst
110716Xim_WT_Y,Chimera,CH2,GFP,no.ab
110716Xim_WT_Y,Chimera,CH3,NANOG.rb,af647.rb
110716Xim_WT_Y,Chimera,CH4,BF,NA
110716Xim_WT_Y,Chimera,CH5,GATA6.gt,af568.gt
110716Xim_WT_Y,Control,CH1,DNA,Hoechst
110716Xim_WT_Y,Control,CH2,CDX2.m,af488.m
110716Xim_WT_Y,Control,CH3,NANOG.rb,af647.rb
110716Xim_WT_Y,Control,CH4,BF,NA
110716Xim_WT_Y,Control,CH5,GATA6.gt,af568.gt
111016Xim_WT_Z,Chimera,CH1,DNA,Hoechst
111016Xim_WT_Z,Chimera,CH2,GFP,no.ab
111016Xim_WT_Z,Chimera,CH3,NANOG.rb,af647.rb
111016Xim_WT_Z,Chimera,CH4,BF,NA
111016Xim_WT_Z,Chimera,CH5,GATA6.gt,af568.gt
111016Xim_WT_Z,Control,CH1,DNA,Hoechst
111016Xim_WT_Z,Control,CH2,CDX2.m,af488.m
111016Xim_WT_Z,Control,CH3,NANOG.rb,af647.rb
111016Xim_WT_Z,Control,CH4,BF,NA
111016Xim_WT_Z,Control,CH5,GATA6.gt,af568.gt
111116Xim_WT_AA,Chimera,CH1,DNA,Hoechst
111116Xim_WT_AA,Chimera,CH2,GFP,no.ab
111116Xim_WT_AA,Chimera,CH3,NANOG.rb,af647.rb
111116Xim_WT_AA,Chimera,CH4,BF,NA
111116Xim_WT_AA,Chimera,CH5,GATA6.gt,af568.gt
111116Xim_WT_AA,Control,CH1,DNA,Hoechst
111116Xim_WT_AA,Control,CH2,CDX2.m,af488.m
111116Xim_WT_AA,Control,CH3,NANOG.rb,af647.rb
111116Xim_WT_AA,Control,CH4,BF,NA
111116Xim_WT_AA,Control,CH5,GATA6.gt,af568.gt
011017Xim_WT_AB,Chimera,CH1,DNA,Hoechst
011017Xim_WT_AB,Chimera,CH2,GFP.ck,af488.ck
011017Xim_WT_AB,Chimera,CH3,NANOG.rb,af647.rb
011017Xim_WT_AB,Chimera,CH4,BF,NA
011017Xim_WT_AB,Chimera,CH5,GATA6.gt,af568.gt
011217Xim_WT_AC,Chimera,CH1,DNA,Hoechst
011217Xim_WT_AC,Chimera,CH2,GFP.ck,af488.ck
011217Xim_WT_AC,Chimera,CH3,NANOG.rb,af647.rb
011217Xim_WT_AC,Chimera,CH4,BF,NA
011217Xim_WT_AC,Chimera,CH5,GATA6.gt,af568.gt
011317Xim_WT_AD,Chimera,CH1,DNA,Hoechst
011317Xim_WT_AD,Chimera,CH2,GFP.ck,af488.ck
011317Xim_WT_AD,Chimera,CH3,NANOG.rb,af647.rb
011317Xim_WT_AD,Chimera,CH4,BF,NA
011317Xim_WT_AD,Chimera,CH5,GATA6.gt,af568.gt
011517Xim_WT_AE,Chimera,CH1,DNA,Hoechst
011517Xim_WT_AE,Chimera,CH2,GFP.ck,af488.ck
011517Xim_WT_AE,Chimera,CH3,NANOG.rb,af647.rb
011517Xim_WT_AE,Chimera,CH4,BF,NA
011517Xim_WT_AE,Chimera,CH5,GATA6.gt,af568.gt
011517Xim_WT_AE,Control,CH1,DNA,Hoechst
011517Xim_WT_AE,Control,CH2,GFP.ck,af488.ck
011517Xim_WT_AE,Control,CH3,NANOG.rb,af647.rb
011517Xim_WT_AE,Control,CH4,BF,NA
011517Xim_WT_AE,Control,CH5,GATA6.gt,af568.gt
012017Xim_G6_AF,Chimera,CH1,DNA,Hoechst
012017Xim_G6_AF,Chimera,CH2,GFP.ck,af488.ck
012017Xim_G6_AF,Chimera,CH3,NANOG.rb,af647.rb
012017Xim_G6_AF,Chimera,CH4,BF,NA
012017Xim_G6_AF,Chimera,CH5,GATA6.gt,af568.gt
012017Xim_G6_AF,Control,CH1,DNA,Hoechst
012017Xim_G6_AF,Control,CH2,CDX2.m,af488.m
012017Xim_G6_AF,Control,CH3,NANOG.rb,af647.rb
012017Xim_G6_AF,Control,CH4,BF,NA
012017Xim_G6_AF,Control,CH5,GATA6.gt,af568.gt
012717Xim_WT_AG,Chimera,CH1,DNA,Hoechst
012717Xim_WT_AG,Chimera,CH2,GFP.ck,af488.ck
012717Xim_WT_AG,Chimera,CH3,NANOG.rb,af647.rb
012717Xim_WT_AG,Chimera,CH4,BF,NA
012717Xim_WT_AG,Chimera,CH5,GATA6.gt,af568.gt
012717Xim_WT_AG,Control,CH1,DNA,Hoechst
012717Xim_WT_AG,Control,CH2,GFP.ck,af488.ck
012717Xim_WT_AG,Control,CH3,NANOG.rb,af647.rb
012717Xim_WT_AG,Control,CH4,BF,NA
012717Xim_WT_AG,Control,CH5,GATA6.gt,af568.gt
020117Xim_WT_AH,Chimera,CH1,DNA,Hoechst
020117Xim_WT_AH,Chimera,CH2,GFP.ck,af488.ck
020117Xim_WT_AH,Chimera,CH3,NANOG.rb,af647.rb
020117Xim_WT_AH,Chimera,CH4,BF,NA
020117Xim_WT_AH,Chimera,CH5,GATA6.gt,af568.gt
020817Xim_WT_AI,Control,CH1,DNA,Hoechst
020817Xim_WT_AI,Control,CH2,GFP.ck,af488.ck
020817Xim_WT_AI,Control,CH3,NANOG.rb,af647.rb
020817Xim_WT_AI,Control,CH4,BF,NA
020817Xim_WT_AI,Control,CH5,GATA6.gt,af568.gt
020817Xim_WT_AI,Chimera,CH1,DNA,Hoechst
020817Xim_WT_AI,Chimera,CH2,GFP.ck,af488.ck
020817Xim_WT_AI,Chimera,CH3,NANOG.rb,af647.rb
020817Xim_WT_AI,Chimera,CH4,BF,NA
020817Xim_WT_AI,Chimera,CH5,GATA6.gt,af568.gt
020917Xim_WT_AJ,Control,CH1,DNA,Hoechst
020917Xim_WT_AJ,Control,CH2,GFP.ck,af488.ck
020917Xim_WT_AJ,Control,CH3,NANOG.rb,af647.rb
020917Xim_WT_AJ,Control,CH4,BF,NA
020917Xim_WT_AJ,Control,CH5,GATA6.gt,af568.gt
020917Xim_WT_AJ,Chimera,CH1,DNA,Hoechst
020917Xim_WT_AJ,Chimera,CH2,GFP.ck,af488.ck
020917Xim_WT_AJ,Chimera,CH3,NANOG.rb,af647.rb
020917Xim_WT_AJ,Chimera,CH4,BF,NA
020917Xim_WT_AJ,Chimera,CH5,GATA6.gt,af568.gt
022417Xim_WT_AK,Control,CH1,DNA,Hoechst
022417Xim_WT_AK,Control,CH2,CDX2.m,af488.m
022417Xim_WT_AK,Control,CH3,NANOG.rb,af647.rb
022417Xim_WT_AK,Control,CH4,BF,NA
022417Xim_WT_AK,Control,CH5,GATA6.gt,af568.gt
022417Xim_WT_AK,Chimera,CH1,DNA,Hoechst
022417Xim_WT_AK,Chimera,CH2,GFP.ck,af488.ck
022417Xim_WT_AK,Chimera,CH3,NANOG.rb,af647.rb
022417Xim_WT_AK,Chimera,CH4,BF,NA
022417Xim_WT_AK,Chimera,CH5,GATA6.gt,af568.gt
030117Xim_WT_AL,Control,CH1,DNA,Hoechst
030117Xim_WT_AL,Control,CH2,CDX2.m,af488.m
030117Xim_WT_AL,Control,CH3,NANOG.rb,af647.rb
030117Xim_WT_AL,Control,CH4,BF,NA
030117Xim_WT_AL,Control,CH5,GATA6.gt,af568.gt
030117Xim_WT_AL,Chimera,CH1,DNA,Hoechst
030117Xim_WT_AL,Chimera,CH2,GFP.ck,af488.ck
030117Xim_WT_AL,Chimera,CH3,NANOG.rb,af647.rb
030117Xim_WT_AL,Chimera,CH4,BF,NA
030117Xim_WT_AL,Chimera,CH5,GATA6.gt,af568.gt
030217Xim_WT_AM,Control,CH1,DNA,Hoechst
030217Xim_WT_AM,Control,CH2,CDX2.m,af488.m
030217Xim_WT_AM,Control,CH3,NANOG.rb,af647.rb
030217Xim_WT_AM,Control,CH4,BF,NA
