Experiment,Litter,Channel,Marker,ab.2
042117G6G4_A,A,,,
042117G6G4_A,A,,,
042117G6G4_A,A,,,
042117G6G4_A,A,,,
042117G6G4_A,A,,,
042117G6G4_B,B,CH1,DNA,Hoechst
042117G6G4_B,B,CH2,CDX2.m,af488.m
042117G6G4_B,B,CH3,NANOG.rb,af647.rb
042117G6G4_B,B,CH4,BF,NA
042117G6G4_B,B,CH5,GATA6.gt,af568.gt
042117G6G4_C,C,CH1,DNA,Hoechst
042117G6G4_C,C,CH2,CDX2.m,af488.m
042117G6G4_C,C,CH3,NANOG.rb,af647.rb
042117G6G4_C,C,CH4,BF,NA
042117G6G4_C,C,CH5,GATA6.gt,af568.gt
050217G6G4_D,D,CH1,DNA,Hoechst
050217G6G4_D,D,CH2,CDX2.m,af488.m
050217G6G4_D,D,CH3,NANOG.rb,af647.rb
050217G6G4_D,D,CH4,BF,NA
050217G6G4_D,D,CH5,GATA6.gt,af568.gt
052317G6G4_E,E,CH1,DNA,Hoechst
052317G6G4_E,E,CH2,CDX2.m,af488.m
052317G6G4_E,E,CH3,NANOG.rb,af647.rb
052317G6G4_E,E,CH4,BF,NA
052317G6G4_E,E,CH5,GATA6.gt,af568.gt
052517G6G4_F,F,CH1,DNA,Hoechst
052517G6G4_F,F,CH2,CDX2.m,af488.m
052517G6G4_F,F,CH3,NANOG.rb,af647.rb
052517G6G4_F,F,CH4,BF,NA
052517G6G4_F,F,CH5,GATA6.gt,af568.gt
062217G6G4_G,G,CH1,DNA,Hoechst
062217G6G4_G,G,CH2,CDX2.m,af488.m
062217G6G4_G,G,CH3,NANOG.rb,af647.rb
062217G6G4_G,G,CH4,BF,NA
062217G6G4_G,G,CH5,GATA6.gt,af568.gt
071417G6G4_H,H,CH1,DNA,Hoechst
071417G6G4_H,H,CH2,CDX2.m,af488.m
071417G6G4_H,H,CH3,NANOG.rb,af647.rb
071417G6G4_H,H,CH4,BF,NA
071417G6G4_H,H,CH5,GATA6.gt,af568.gt
080217G6G4_I,I,CH1,DNA,Hoechst
080217G6G4_I,I,CH2,CDX2.m,af488.m
080217G6G4_I,I,CH3,NANOG.rb,af647.rb
080217G6G4_I,I,CH4,BF,NA
080217G6G4_I,I,CH5,GATA6.gt,af568.gt
080317G6G4_J,J,CH1,DNA,Hoechst
080317G6G4_J,J,CH2,CDX2.m,af488.m
080317G6G4_J,J,CH3,NANOG.rb,af647.rb
080317G6G4_J,J,CH4,BF,NA
080317G6G4_J,J,CH5,GATA6.gt,af568.gt
092117G6G4_K,K,CH1,DNA,Hoechst
092117G6G4_K,K,CH2,CDX2.m,af488.m
092117G6G4_K,K,CH3,NANOG.rb,af647.rb
092117G6G4_K,K,CH4,BF,NA
092117G6G4_K,K,CH5,GATA6.gt,af568.gt
092117G6G4_L,L,CH1,DNA,Hoechst
092117G6G4_L,L,CH2,CDX2.m,af488.m
092117G6G4_L,L,CH3,NANOG.rb,af647.rb
092117G6G4_L,L,CH4,BF,NA
092117G6G4_L,L,CH5,GATA6.gt,af568.gt
092917G6G4_M,M,CH1,DNA,Hoechst
092917G6G4_M,M,CH2,CDX2.m,af488.m
092917G6G4_M,M,CH3,NANOG.rb,af647.rb
